 , , ,4, ,14, , , ,1, , , , , ,13
9, , , , , , , ,13,5, ,6,14,11, ,0
12, , ,2, ,1, , , , , , , , , , 
11, , ,5, , ,7,4, , , , , ,3, , 
4, , , ,6,10, , , , ,8, ,2,5, , 
6,2, ,11,8, ,15, ,14,0, , , ,13, , 
13, ,7, , , , , , , ,1,10,3, , ,12
10, , , ,5, , ,12, , ,11, , ,1, , 
 , , , ,9, ,14, ,11,10, , , , ,2, 
 , ,9,0,10,2, ,3,6, ,4, , , ,11,8
15,1, ,13, , , ,7, ,14, ,3, ,0, ,9
 , , , ,11,0,13, , , , ,15,6, ,7, 
 ,11,10,9, , , ,15, ,7, ,1,5, , , 
 , , , , , ,6, ,3, , ,2,8,10, ,14
 , ,14, , , ,3, ,8,4, , , , , , 
2, , , , , , , , , ,13, , , , , 
