 , ,1,9, , ,3, ,14,6, ,8,15, , , 
14,4,15, , , ,10,13,12,9, , , , , ,6
 , ,12, ,7,8, ,6, ,15, ,10, , , ,11
10, , , , , ,15, , ,13, , ,1,5,8,7
13,15, , , , , , , ,1, , ,5, ,14, 
 , ,2, ,12,7, ,14, ,3,9, ,13, , ,10
 ,9, , , , , , , , , , , , , , 
 , , , , ,6, , , ,7,10,11, , , , 
 , , ,2,11, , ,4,5, ,3, ,14,13, ,1
0,7, , , , , , , , ,11, ,4,15, , 
12,10,13, , , , ,5,9, , , , , ,11,3
6, , ,4,15,13, , , ,10, , , ,2, , 
 ,6, , ,10, , , , , , ,13,3, , ,12
4, , , ,9,15, , ,8, , , ,6, , , 
 , , , ,13, , , ,6,12,14, , , , , 
8, ,7, , , , , , , , , , ,11,15, 
