 , ,7, , ,10, , , ,0, , , , , ,5
12, ,4,8, , , ,13,5, ,7,3,14, ,15, 
3, ,2, , , , , ,12, ,15, , , , , 
 , ,10, , , ,15,14,8, , ,1,6,9, , 
 , ,12, , , ,7, , , ,10,11, , , ,14
8,9, ,11, ,14, , ,3, , ,6,7, , , 
10, , , , , ,8,4,9,5, , , ,3, , 
 ,6, , , , ,12, , ,4, ,15,9, ,2,13
2, , ,10,11,12,14, ,15, ,13,4, , ,9, 
 , ,9,4, ,5, , ,11, , ,8,15, , ,10
14, , ,5, , ,13,10, , ,0,7, , , ,3
 ,11,0,1,9, , ,7, , , , ,2,13, ,8
 ,8, , , , ,6, , , , , , ,11, ,2
15, , , , , , ,9, ,11, , ,5,7,12, 
13, , , ,14, ,4,15, , ,12, ,10, , , 
 ,5, , ,13, , ,11, ,6,8, , , , , 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , ,6,,,,,,,,,,,,,
 ,10,4,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
3, ,13,,,,,,,,,,,,,
 ,7, ,,,,,,,,,,,,,
13, , ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , ,9,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
4, , ,,,,,,,,,,,,,
 ,6,14,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , ,8,,,,,,,,,,,,,
2, , ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
9, , ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , ,14,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
13,11, ,,,,,,,,,,,,,
 , ,5,,,,,,,,,,,,,
 , ,6,,,,,,,,,,,,,
 , ,4,,,,,,,,,,,,,
8, , ,,,,,,,,,,,,,
 ,12, ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
0,2, ,,,,,,,,,,,,,
2, ,12,,,,,,,,,,,,,
 ,14,10,,,,,,,,,,,,,
3, , ,,,,,,,,,,,,,
1,13,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , ,1,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
6, , ,,,,,,,,,,,,,
4,1, ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
 , ,14,,,,,,,,,,,,,
11,6, ,,,,,,,,,,,,,
 ,11,10,,,,,,,,,,,,,
8, ,3,,,,,,,,,,,,,
 ,15, ,,,,,,,,,,,,,
5, , ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,,,
9,13, ,,,,,,,,,,,,,
3, , ,,,,,,,,,,,,,
12, ,4,,,,,,,,,,,,,
